date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,boundary_layer_height,wet_bulb_temperature_2m,total_column_integrated_water_vapour
2026-1-1 0:00,-11.2,36,-23.2,-15.7,0,0,0,0,1,1032.4,1029,41,0,41,0,0.01,0.2,1.2,1.1,333,311,2.4,-8.8,0.09,0,0,0,0,0,0,-3.4,1.9,10.8,0.16,0.2,0.17,20,-12.9,2.4
2026-1-1 1:00,-11.2,32,-24.7,-16.3,0,0,0,0,1,1032.3,1028.9,23,0,23,0,0.02,0.2,2.2,3.6,355,1,3.8,-9,0.09,0,0,0,0,0,0,-3.6,1.9,10.7,0.16,0.2,0.17,35,-12.8,2.5
2026-1-1 2:00,-11,26,-26.7,-16.4,0,0,0,0,1,1032.1,1028.7,41,0,41,0,0.03,0.2,2.8,5.8,2,8,5.1,-11,0.09,0,0,0,0,0,0,-3.8,1.9,10.7,0.16,0.2,0.17,65,-12.4,2.6
2026-1-1 3:00,-11.1,27,-26.5,-16.8,0,0,0,0,2,1032.4,1029,55,0,55,0,0.03,0.2,3.3,6.9,8,8,6,-10.6,0.09,0,0,0,0,0,0,-4.1,1.8,10.7,0.16,0.2,0.17,175,-12.6,2.7
2026-1-1 4:00,-11.5,34,-24.3,-17.2,0,0,0,0,1,1032.5,1029.1,37,0,37,0,0.02,0.2,3.3,6.6,15,15,6.2,-10.2,0.09,0,0,0,0,0,0,-4.4,1.8,10.7,0.16,0.2,0.17,235,-13.1,2.7
2026-1-1 5:00,-12.2,38,-23.7,-17.8,0,0,0,0,1,1033.1,1029.7,24,0,24,0,0.02,0.2,3.2,6.4,16,19,6.2,-10.1,0.09,0,0,0,0,0,0,-4.6,1.8,10.7,0.16,0.2,0.17,275,-13.8,2.6
2026-1-1 6:00,-12.4,39,-23.6,-18.2,0,0,0,0,0,1033.7,1030.3,5,0,5,0,0.02,0.1,3.5,6.6,15,17,6.7,-10.1,0.09,0,0,0,0,0,0,-4.8,1.8,10.7,0.16,0.2,0.17,420,-14.1,2.3
2026-1-1 7:00,-12.8,40,-23.6,-18.5,0,0,0,0,0,1034.6,1031.2,0,0,0,0,0.02,0.1,3.3,6.2,12,14,6.9,-10.2,0.09,0,0,0,0,0,0,-5,1.8,10.6,0.16,0.2,0.17,615,-14.4,2
2026-1-1 8:00,-13.2,43,-23,-19.1,0,0,0,0,0,1035.1,1031.7,0,0,0,0,0.02,0.1,3.9,6.7,356,359,7.5,-11.4,0.09,14,4,10,63,14,38,-5,1.8,10.6,0.16,0.2,0.17,645,-14.7,1.8
2026-1-1 9:00,-12.6,35,-24.9,-18.8,0,0,0,0,0,1035.9,1032.5,0,0,0,0,0.04,0.2,4.3,6.8,348,350,9.2,-10.8,0.09,120,68,52,408,120,236,-5.2,1.7,10.6,0.16,0.2,0.17,740,-14,1.3
