datetime,Load,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,year,month,day,hour,is_holiday
2025/1/1 0:00,3668.856928,-1.7,36,3.5,0,2025,1,1,0,1
2025/1/1 0:15,3571.86928,-1.725,35.5,3.525,0,2025,1,1,0,1
2025/1/1 0:30,3474.576256,-1.75,35,3.55,0,2025,1,1,0,1
2025/1/1 0:45,3368.833312,-1.775,34.5,3.575,0,2025,1,1,0,1
2025/1/1 1:00,3285.3904,-1.8,34,3.6,0,2025,1,1,1,1
2025/1/1 1:15,3200.516608,-1.875,34,3.575,0,2025,1,1,1,1
2025/1/1 1:30,3134.502784,-1.95,34,3.55,0,2025,1,1,1,1
2025/1/1 1:45,3070.967488,-2.025,34,3.525,0,2025,1,1,1,1
2025/1/1 2:00,3013.296736,-2.1,34,3.5,0,2025,1,1,2,1
2025/1/1 2:15,2969.653312,-2.175,33.75,3.425,0,2025,1,1,2,1
2025/1/1 2:30,2941.91824,-2.25,33.5,3.35,0,2025,1,1,2,1
2025/1/1 2:45,2912.898016,-2.325,33.25,3.275,0,2025,1,1,2,1
2025/1/1 3:00,2851.142272,-2.4,33,3.2,0,2025,1,1,3,1
2025/1/1 3:15,2809.8208,-2.5,33.25,3.15,0,2025,1,1,3,1
2025/1/1 3:30,2776.655968,-2.6,33.5,3.1,0,2025,1,1,3,1
2025/1/1 3:45,2752.963072,-2.7,33.75,3.05,0,2025,1,1,3,1
2025/1/1 4:00,2723.99824,-2.8,34,3,0,2025,1,1,4,1
2025/1/1 4:15,2688.03952,-2.85,34,2.925,0,2025,1,1,4,1
2025/1/1 4:30,2675.635456,-2.9,34,2.85,0,2025,1,1,4,1
2025/1/1 4:45,2655.4384,-2.95,34,2.775,0,2025,1,1,4,1
2025/1/1 5:00,2643.251392,-3,34,2.7,0,2025,1,1,5,1
2025/1/1 5:15,2633.26912,-3.025,34.25,2.6,0,2025,1,1,5,1
2025/1/1 5:30,2620.91824,-3.05,34.5,2.5,0,2025,1,1,5,1
2025/1/1 5:45,2602.487776,-3.075,34.75,2.4,0,2025,1,1,5,1
2025/1/1 6:00,2597.484544,-3.1,35,2.3,0,2025,1,1,6,1
2025/1/1 6:15,2596.369408,-3.15,35,2.25,0,2025,1,1,6,1
2025/1/1 6:30,2583.066976,-3.2,35,2.2,0,2025,1,1,6,1
2025/1/1 6:45,2556.393472,-3.25,35,2.15,0,2025,1,1,6,1
2025/1/1 7:00,2543.075584,-3.3,35,2.1,0,2025,1,1,7,1
2025/1/1 7:15,2568.382624,-3.275,35,2.125,3.25,2025,1,1,7,1
2025/1/1 7:30,2565.285184,-3.25,35,2.15,6.5,2025,1,1,7,1
2025/1/1 7:45,2578.466848,-3.225,35,2.175,9.75,2025,1,1,7,1
2025/1/1 8:00,2568.44896,-3.2,35,2.2,13,2025,1,1,8,1
2025/1/1 8:15,2632.18864,-3.225,35.25,2.175,38.5,2025,1,1,8,1
2025/1/1 8:30,2728.664896,-3.25,35.5,2.15,64,2025,1,1,8,1
2025/1/1 8:45,2806.842592,-3.275,35.75,2.125,89.5,2025,1,1,8,1
2025/1/1 9:00,2906.417056,-3.3,36,2.1,115,2025,1,1,9,1
2025/1/1 9:15,2977.96864,-2.8,34.5,1.975,148.5,2025,1,1,9,1
2025/1/1 9:30,3066.393184,-2.3,33,1.85,182,2025,1,1,9,1
2025/1/1 9:45,3124.043872,-1.8,31.5,1.725,215.5,2025,1,1,9,1
2025/1/1 10:00,3186.888928,-1.3,30,1.6,249,2025,1,1,10,1
2025/1/1 10:15,3253.956256,-0.925,29.25,1.625,275,2025,1,1,10,1
2025/1/1 10:30,3313.903072,-0.55,28.5,1.65,301,2025,1,1,10,1
2025/1/1 10:45,3369.24928,-0.175,27.75,1.675,327,2025,1,1,10,1
2025/1/1 11:00,3400.998688,0.2,27,1.7,353,2025,1,1,11,1
2025/1/1 11:15,3463.640032,0.45,26.25,1.6,367.25,2025,1,1,11,1
2025/1/1 11:30,3485.720032,0.7,25.5,1.5,381.5,2025,1,1,11,1
2025/1/1 11:45,3466.074496,0.95,24.75,1.4,395.75,2025,1,1,11,1
2025/1/1 12:00,3398.876416,1.2,24,1.3,410,2025,1,1,12,1
2025/1/1 12:15,3322.415584,1.35,23.5,1.175,409.75,2025,1,1,12,1
2025/1/1 12:30,3252.392704,1.5,23,1.05,409.5,2025,1,1,12,1
2025/1/1 12:45,3153.815968,1.65,22.5,0.925,409.25,2025,1,1,12,1
2025/1/1 13:00,3092.54032,1.8,22,0.8,409,2025,1,1,13,1
2025/1/1 13:15,3009.093952,1.85,21.75,0.75,395,2025,1,1,13,1
2025/1/1 13:30,2958.570592,1.9,21.5,0.7,381,2025,1,1,13,1
2025/1/1 13:45,2941.300672,1.95,21.25,0.65,367,2025,1,1,13,1
2025/1/1 14:00,2905.280992,2,21,0.6,353,2025,1,1,14,1
2025/1/1 14:15,2882.076256,1.95,21,0.5,326.75,2025,1,1,14,1
2025/1/1 14:30,2837.566048,1.9,21,0.4,300.5,2025,1,1,14,1
2025/1/1 14:45,2842.237888,1.85,21,0.3,274.25,2025,1,1,14,1
2025/1/1 15:00,2833.718368,1.8,21,0.2,248,2025,1,1,15,1
2025/1/1 15:15,2851.105504,1.375,22.25,0.5,214.75,2025,1,1,15,1
2025/1/1 15:30,2900.062144,0.95,23.5,0.8,181.5,2025,1,1,15,1
2025/1/1 15:45,2930.833312,0.525,24.75,1.1,148.25,2025,1,1,15,1
2025/1/1 16:00,2970.603712,0.1,26,1.4,115,2025,1,1,16,1
2025/1/1 16:15,3043.224544,-0.55,31,1.75,89.25,2025,1,1,16,1
2025/1/1 16:30,3110.828128,-1.2,36,2.1,63.5,2025,1,1,16,1
2025/1/1 16:45,3175.536256,-1.85,41,2.45,37.75,2025,1,1,16,1
2025/1/1 17:00,3266.240032,-2.5,46,2.8,12,2025,1,1,17,1
2025/1/1 17:15,3395.697568,-2.825,48.25,2.75,9,2025,1,1,17,1
2025/1/1 17:30,3538.005664,-3.15,50.5,2.7,6,2025,1,1,17,1
2025/1/1 17:45,3679.034944,-3.475,52.75,2.65,3,2025,1,1,17,1
2025/1/1 18:00,3884.574496,-3.8,55,2.6,0,2025,1,1,18,1
2025/1/1 18:15,4023.959968,-3.85,54.75,2.525,0,2025,1,1,18,1
2025/1/1 18:30,4082.142304,-3.9,54.5,2.45,0,2025,1,1,18,1
2025/1/1 18:45,4021.613152,-3.95,54.25,2.375,0,2025,1,1,18,1
2025/1/1 19:00,3977.47072,-4,54,2.3,0,2025,1,1,19,1
2025/1/1 19:15,3957.920032,-4.05,53.5,2.25,0,2025,1,1,19,1
2025/1/1 19:30,3941.246176,-4.1,53,2.2,0,2025,1,1,19,1
2025/1/1 19:45,3933.656896,-4.15,52.5,2.15,0,2025,1,1,19,1
2025/1/1 20:00,3915.23008,-4.2,52,2.1,0,2025,1,1,20,1
2025/1/1 20:15,3924.857536,-4.15,53,2.075,0,2025,1,1,20,1
2025/1/1 20:30,3940.957696,-4.1,54,2.05,0,2025,1,1,20,1
2025/1/1 20:45,3945.58816,-4.05,55,2.025,0,2025,1,1,20,1
2025/1/1 21:00,3926.857696,-4,56,2,0,2025,1,1,21,1
2025/1/1 21:15,3921.43984,-3.95,55,2.15,0,2025,1,1,21,1
2025/1/1 21:30,3912.724864,-3.9,54,2.3,0,2025,1,1,21,1
2025/1/1 21:45,3865.07008,-3.85,53,2.45,0,2025,1,1,21,1
2025/1/1 22:00,3822.601984,-3.8,52,2.6,0,2025,1,1,22,1
2025/1/1 22:15,3736.948768,-3.7,50.5,2.675,0,2025,1,1,22,1
2025/1/1 22:30,3626.3488,-3.6,49,2.75,0,2025,1,1,22,1
2025/1/1 22:45,3501.626368,-3.5,47.5,2.825,0,2025,1,1,22,1
2025/1/1 23:00,3377.065696,-3.4,46,2.9,0,2025,1,1,23,1
2025/1/1 23:15,3202.22176,-3.1,42.25,3.275,0,2025,1,1,23,1
2025/1/1 23:30,3067.189888,-2.8,38.5,3.65,0,2025,1,1,23,1
2025/1/1 23:45,2945.126848,-2.5,34.75,4.025,0,2025,1,1,23,1
2025/1/2 0:00,2846.472832,-2.2,31,4.4,0,2025,1,2,0,0
2025/1/2 0:15,2751.803584,-2.45,31.5,4.25,0,2025,1,2,0,0
2025/1/2 0:30,2668.747168,-2.7,32,4.1,0,2025,1,2,0,0
2025/1/2 0:45,2576.708608,-2.95,32.5,3.95,0,2025,1,2,0,0
2025/1/2 1:00,2512.657216,-3.2,33,3.8,0,2025,1,2,1,0
2025/1/2 1:15,2443.51024,-3.45,33.75,3.7,0,2025,1,2,1,0
2025/1/2 1:30,2403.692992,-3.7,34.5,3.6,0,2025,1,2,1,0
2025/1/2 1:45,2356.560352,-3.95,35.25,3.5,0,2025,1,2,1,0
2025/1/2 2:00,2317.23904,-4.2,36,3.4,0,2025,1,2,2,0
2025/1/2 2:15,2281.436896,-4.375,36.5,3.35,0,2025,1,2,2,0
2025/1/2 2:30,2256.84112,-4.55,37,3.3,0,2025,1,2,2,0
2025/1/2 2:45,2235.618016,-4.725,37.5,3.25,0,2025,1,2,2,0
2025/1/2 3:00,2221.153312,-4.9,38,3.2,0,2025,1,2,3,0
2025/1/2 3:15,2203.747648,-5.075,38.5,3.15,0,2025,1,2,3,0
2025/1/2 3:30,2183.434816,-5.25,39,3.1,0,2025,1,2,3,0
2025/1/2 3:45,2176.281472,-5.425,39.5,3.05,0,2025,1,2,3,0
2025/1/2 4:00,2178.259648,-5.6,40,3,0,2025,1,2,4,0
2025/1/2 4:15,2177.081152,-5.7,40.5,3,0,2025,1,2,4,0
2025/1/2 4:30,2175.13984,-5.8,41,3,0,2025,1,2,4,0
2025/1/2 4:45,2182.394176,-5.9,41.5,3,0,2025,1,2,4,0
2025/1/2 5:00,2201.317216,-6,42,3,0,2025,1,2,5,0
2025/1/2 5:15,2233.717408,-6.1,42.5,2.975,0,2025,1,2,5,0
2025/1/2 5:30,2251.675456,-6.2,43,2.95,0,2025,1,2,5,0
2025/1/2 5:45,2289.332704,-6.3,43.5,2.925,0,2025,1,2,5,0
2025/1/2 6:00,2336.793472,-6.4,44,2.9,0,2025,1,2,6,0
2025/1/2 6:15,2437.634656,-6.475,44.25,2.85,0,2025,1,2,6,0
2025/1/2 6:30,2507.329408,-6.55,44.5,2.8,0,2025,1,2,6,0
2025/1/2 6:45,2611.954624,-6.625,44.75,2.75,0,2025,1,2,6,0
2025/1/2 7:00,2769.162784,-6.7,45,2.7,0,2025,1,2,7,0
2025/1/2 7:15,3064.166368,-6.725,45,2.725,3.5,2025,1,2,7,0
2025/1/2 7:30,3380.264416,-6.75,45,2.75,7,2025,1,2,7,0
2025/1/2 7:45,3841.535104,-6.775,45,2.775,10.5,2025,1,2,7,0
2025/1/2 8:00,4710.724864,-6.8,45,2.8,14,2025,1,2,8,0
2025/1/2 8:15,5609.445664,-6.45,44,2.775,41,2025,1,2,8,0
2025/1/2 8:30,5939.974816,-6.1,43,2.75,68,2025,1,2,8,0
2025/1/2 8:45,6220.231072,-5.75,42,2.725,95,2025,1,2,8,0
2025/1/2 9:00,6394.037056,-5.4,41,2.7,122,2025,1,2,9,0
2025/1/2 9:15,6521.047648,-4.95,38.25,2.8,156,2025,1,2,9,0
2025/1/2 9:30,6625.847488,-4.5,35.5,2.9,190,2025,1,2,9,0
2025/1/2 9:45,6730.392832,-4.05,32.75,3,224,2025,1,2,9,0
2025/1/2 10:00,6809.446528,-3.6,30,3.1,258,2025,1,2,10,0
2025/1/2 10:15,6894.471232,-3.275,28.25,3.175,284.5,2025,1,2,10,0
2025/1/2 10:30,6974.296096,-2.95,26.5,3.25,311,2025,1,2,10,0
2025/1/2 10:45,7014.093952,-2.625,24.75,3.325,337.5,2025,1,2,10,0
2025/1/2 11:00,7040.336416,-2.3,23,3.4,364,2025,1,2,11,0
2025/1/2 11:15,7057.988608,-2.075,22,3.375,378,2025,1,2,11,0
2025/1/2 11:30,6947.23984,-1.85,21,3.35,392,2025,1,2,11,0
2025/1/2 11:45,6637.344064,-1.625,20,3.325,406,2025,1,2,11,0
2025/1/2 12:00,5871.927328,-1.4,19,3.3,420,2025,1,2,12,0
2025/1/2 12:15,5364.445984,-1.25,18.5,3.25,419.75,2025,1,2,12,0
2025/1/2 12:30,5273.57872,-1.1,18,3.2,419.5,2025,1,2,12,0
2025/1/2 12:45,5203.236256,-0.95,17.5,3.15,419.25,2025,1,2,12,0
2025/1/2 13:00,5276.526688,-0.8,17,3.1,419,2025,1,2,13,0
2025/1/2 13:15,5407.869088,-0.7,16.75,2.975,404.75,2025,1,2,13,0
2025/1/2 13:30,5867.44048,-0.6,16.5,2.85,390.5,2025,1,2,13,0
2025/1/2 13:45,6425.145664,-0.5,16.25,2.725,376.25,2025,1,2,13,0
2025/1/2 14:00,6526.47904,-0.4,16,2.6,362,2025,1,2,14,0
2025/1/2 14:15,6625.868608,-0.375,15.5,2.525,335.5,2025,1,2,14,0
2025/1/2 14:30,6637.644064,-0.35,15,2.45,309,2025,1,2,14,0
2025/1/2 14:45,6647.697376,-0.325,14.5,2.375,282.5,2025,1,2,14,0
2025/1/2 15:00,6680.891392,-0.3,14,2.3,256,2025,1,2,15,0
2025/1/2 15:15,6717.037696,-0.65,14.75,1.925,222,2025,1,2,15,0
2025/1/2 15:30,6800.662624,-1,15.5,1.55,188,2025,1,2,15,0
2025/1/2 15:45,6821.982304,-1.35,16.25,1.175,154,2025,1,2,15,0
2025/1/2 16:00,6885.732832,-1.7,17,0.8,120,2025,1,2,16,0
2025/1/2 16:15,6941.742784,-2,17.5,0.675,93.25,2025,1,2,16,0
2025/1/2 16:30,7004.074816,-2.3,18,0.55,66.5,2025,1,2,16,0
2025/1/2 16:45,6975.63904,-2.6,18.5,0.425,39.75,2025,1,2,16,0
2025/1/2 17:00,6906.337696,-2.9,19,0.3,13,2025,1,2,17,0
