Time,Load,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation
2025-01-01 00:00:00,3668.856928,-1.7,36.0,3.5,0.0
2025-01-01 00:15:00,3571.86928,-1.725,35.5,3.525,0.0
2025-01-01 00:30:00,3474.576256,-1.75,35.0,3.55,0.0
2025-01-01 00:45:00,3368.833312,-1.775,34.5,3.575,0.0
2025-01-01 01:00:00,3285.3904,-1.8,34.0,3.6,0.0
2025-01-01 01:15:00,3200.516608,-1.875,34.0,3.575,0.0
2025-01-01 01:30:00,3134.502784,-1.9500000000000002,34.0,3.55,0.0
2025-01-01 01:45:00,3070.967488,-2.025,34.0,3.525,0.0
2025-01-01 02:00:00,3013.296736,-2.1,34.0,3.5,0.0
2025-01-01 02:15:00,2969.653312,-2.175,33.75,3.425,0.0
2025-01-01 02:30:00,2941.91824,-2.25,33.5,3.35,0.0
2025-01-01 02:45:00,2912.898016,-2.325,33.25,3.2750000000000004,0.0
2025-01-01 03:00:00,2851.142272,-2.4,33.0,3.2,0.0
2025-01-01 03:15:00,2809.8208,-2.5,33.25,3.1500000000000004,0.0
2025-01-01 03:30:00,2776.655968,-2.5999999999999996,33.5,3.1,0.0
2025-01-01 03:45:00,2752.963072,-2.6999999999999997,33.75,3.05,0.0
2025-01-01 04:00:00,2723.99824,-2.8,34.0,3.0,0.0
2025-01-01 04:15:00,2688.03952,-2.8499999999999996,34.0,2.925,0.0
2025-01-01 04:30:00,2675.635456,-2.9,34.0,2.85,0.0
2025-01-01 04:45:00,2655.4384,-2.95,34.0,2.7750000000000004,0.0
2025-01-01 05:00:00,2643.251392,-3.0,34.0,2.7,0.0
2025-01-01 05:15:00,2633.26912,-3.025,34.25,2.6,0.0
2025-01-01 05:30:00,2620.91824,-3.05,34.5,2.5,0.0
2025-01-01 05:45:00,2602.487776,-3.075,34.75,2.4,0.0
2025-01-01 06:00:00,2597.484544,-3.1,35.0,2.3,0.0
2025-01-01 06:15:00,2596.369408,-3.15,35.0,2.25,0.0
2025-01-01 06:30:00,2583.066976,-3.2,35.0,2.2,0.0
2025-01-01 06:45:00,2556.393472,-3.25,35.0,2.15,0.0
2025-01-01 07:00:00,2543.075584,-3.3,35.0,2.1,0.0
2025-01-01 07:15:00,2568.382624,-3.275,35.0,2.125,3.25
2025-01-01 07:30:00,2565.285184,-3.25,35.0,2.1500000000000004,6.5
2025-01-01 07:45:00,2578.466848,-3.225,35.0,2.1750000000000003,9.75
2025-01-01 08:00:00,2568.44896,-3.2,35.0,2.2,13.0
2025-01-01 08:15:00,2632.18864,-3.225,35.25,2.1750000000000003,38.5
2025-01-01 08:30:00,2728.664896,-3.25,35.5,2.1500000000000004,64.0
2025-01-01 08:45:00,2806.842592,-3.275,35.75,2.125,89.5
2025-01-01 09:00:00,2906.417056,-3.3,36.0,2.1,115.0
2025-01-01 09:15:00,2977.96864,-2.8,34.5,1.975,148.5
2025-01-01 09:30:00,3066.393184,-2.3,33.0,1.85,182.0
2025-01-01 09:45:00,3124.043872,-1.8,31.5,1.725,215.5
2025-01-01 10:00:00,3186.888928,-1.3,30.0,1.6,249.0
2025-01-01 10:15:00,3253.956256,-0.925,29.25,1.625,275.0
2025-01-01 10:30:00,3313.903072,-0.55,28.5,1.65,301.0
2025-01-01 10:45:00,3369.24928,-0.17500000000000004,27.75,1.675,327.0
2025-01-01 11:00:00,3400.998688,0.2,27.0,1.7,353.0
2025-01-01 11:15:00,3463.640032,0.45,26.25,1.6,367.25
2025-01-01 11:30:00,3485.720032,0.7,25.5,1.5,381.5
2025-01-01 11:45:00,3466.074496,0.95,24.75,1.4,395.75
2025-01-01 12:00:00,3398.876416,1.2,24.0,1.3,410.0
2025-01-01 12:15:00,3322.415584,1.35,23.5,1.175,409.75
2025-01-01 12:30:00,3252.392704,1.5,23.0,1.05,409.5
2025-01-01 12:45:00,3153.815968,1.65,22.5,0.925,409.25
2025-01-01 13:00:00,3092.54032,1.8,22.0,0.8,409.0
2025-01-01 13:15:00,3009.093952,1.85,21.75,0.75,395.0
