Load,Time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation
3668.856928,2025-01-01 00:00:00,-1.7,36.0,3.5,0.0
3571.86928,2025-01-01 00:15:00,-1.725,35.5,3.525,0.0
3474.576256,2025-01-01 00:30:00,-1.75,35.0,3.55,0.0
3368.833312,2025-01-01 00:45:00,-1.775,34.5,3.575,0.0
3285.3904,2025-01-01 01:00:00,-1.8,34.0,3.6,0.0
3200.516608,2025-01-01 01:15:00,-1.875,34.0,3.575,0.0
3134.502784,2025-01-01 01:30:00,-1.9500000000000002,34.0,3.55,0.0
3070.967488,2025-01-01 01:45:00,-2.025,34.0,3.525,0.0
3013.296736,2025-01-01 02:00:00,-2.1,34.0,3.5,0.0
2969.653312,2025-01-01 02:15:00,-2.175,33.75,3.425,0.0
2941.91824,2025-01-01 02:30:00,-2.25,33.5,3.35,0.0
2912.898016,2025-01-01 02:45:00,-2.325,33.25,3.2750000000000004,0.0
2851.142272,2025-01-01 03:00:00,-2.4,33.0,3.2,0.0
2809.8208,2025-01-01 03:15:00,-2.5,33.25,3.1500000000000004,0.0
2776.655968,2025-01-01 03:30:00,-2.5999999999999996,33.5,3.1,0.0
2752.963072,2025-01-01 03:45:00,-2.6999999999999997,33.75,3.05,0.0
2723.99824,2025-01-01 04:00:00,-2.8,34.0,3.0,0.0
2688.03952,2025-01-01 04:15:00,-2.8499999999999996,34.0,2.925,0.0
2675.635456,2025-01-01 04:30:00,-2.9,34.0,2.85,0.0
2655.4384,2025-01-01 04:45:00,-2.95,34.0,2.7750000000000004,0.0
2643.251392,2025-01-01 05:00:00,-3.0,34.0,2.7,0.0
2633.26912,2025-01-01 05:15:00,-3.025,34.25,2.6,0.0
2620.91824,2025-01-01 05:30:00,-3.05,34.5,2.5,0.0
2602.487776,2025-01-01 05:45:00,-3.075,34.75,2.4,0.0
2597.484544,2025-01-01 06:00:00,-3.1,35.0,2.3,0.0
2596.369408,2025-01-01 06:15:00,-3.15,35.0,2.25,0.0
